gene_id,class,toxin_family,JLS178,JLS181,JLS187,JLS202,JLS216,JLS223,JLS224,JLS228,JLS242,JLS247,JLS248,JLS249,JLS253,JLS254,JLS255,JLS256,JLS257,JLS260,JLS269,Average,Female_Average,Male_Average
extenderContig66||sp|P61270.3|,Nontoxin,Nontoxin,407.32,145.91,4588.85,0,1.31,0,35.31,2327.46,235.06,2032.75,186.51,739.63,209.64,86.51,0,2679.92,1465.97,141.4,0,804.3973684,700.1,920.283333
extenderContig7||sp|P69090.2|,Nontoxin,Nontoxin,1808.21,0,1862.74,1906.6,1605.65,0.53,0.7,1.13,0,0,2051.29,3.09,1889.19,0,2068.57,0.36,1820.11,2347.36,1614.01,998.9231579,1897.373,0.64555556
extenderContig84||sp|P62273.2|,Nontoxin,Nontoxin,11158.01,6980.53,10636.27,10075.95,6731.1,3830.63,4918.69,6304.31,7653.62,10227.65,5253.64,7668.64,9803.53,2970.87,8668.36,3129.78,12741.08,5440.09,6648.86,7412.716316,8715.689,5964.96889
extenderContig99||sp|Q56K10.3|,Nontoxin,Nontoxin,8199.4,7939.9,10000.2,8243.69,5846.58,8066.63,6513.45,4059.89,6997.54,6348.03,7635.13,6650.27,8687.54,11627.77,11525.18,4255.7,8493.9,11851.79,7144.39,7899.314737,8762.78,6939.90889
trinityContig1||sp|Q5ZK84.1|,Nontoxin,Nontoxin,23.53,36.54,19.83,25.47,30.9,36.31,38.84,37.6,20.93,44.43,37.61,10.17,27.93,31.09,31.19,31.09,23.23,58.75,23.45,30.99421053,30.189,31.8888889
trinityContig10007||sp|P22027.2|,Nontoxin,Nontoxin,17.35,24.51,13.91,20.94,28.12,30.53,15.17,35.49,24.39,18.45,44.58,29.93,13.45,30.06,17.03,21.5,20.57,36.45,38.89,25.33263158,25.129,25.5588889
trinityContig1009||sp|Q8UW59.1|,Nontoxin,Nontoxin,0,0,95.21,0,0,34.32,0,201.85,367.31,0,228.98,12.65,87.65,198.58,727.57,0,31.7,0,176.5,113.8063158,134.761,90.5233333
trinityContig1013||sp|P45591.1|,Nontoxin,Nontoxin,1425.93,654.1,1532.18,649.72,1223.11,434.02,622.69,863.97,553.58,1256.99,1385.83,730.49,557.48,65.22,270.74,502.54,1200.17,222.52,506.74,771.4747368,897.442,631.511111
trinityContig1016||sp|P23403.1|,Nontoxin,Nontoxin,6298.65,5477.87,6741.1,7830.43,9162.89,9219.63,5007.71,8011.14,8240.44,9366.2,9166.87,7929.53,10466.23,10869.56,9043.94,9108.19,5900.44,12895.73,8216.51,8365.950526,8572.279,8136.69667
trinityContig10170||sp|P21265.2|,Nontoxin,Nontoxin,29.76,13.73,21.72,16.62,31.56,34.67,11.08,19.68,30.76,28.64,68.68,19.56,27.76,10.13,10.03,22.29,21.48,29.29,7.35,23.93631579,26.425,21.1711111
